"RvNumber"	"Mtnumber"	"Gene_Symbol"	"Gene_Description"
"Rv1027c"	"MT1056"	"kdpE"	"two-component response regulator"
"Rv1028c"	"MT1057"	"kdpD"	"sensor histidine kinase"
"Rv1029"	"MT1058"	"kdpA"	"potassium-transporting ATPase A chain"
"Rv1030"	"MT1059"	"kdpB"	"potassium-transporting ATPase B chain"
"Rv1031"	"MT1060"	"kdpC"	"potassium-transporting ATPase C chain"
"Rv1032c"	"MT1061"	"Rv1032c"	"sensor histidine kinase"
"Rv1033c"	"MT1062"	"Rv1033c"	"two-component response regulator"
"Rv1034c"	"MT1063"	"Rv1034c"	"hypothetical protein"
"Rv1035c"	"MT1065"	"Rv1035c"	"hypothetical protein"
"Rv1036c"	NA	"Rv1036c"	"hypothetical protein"
"Rv1037c;Rv1037c"	NA	NA	NA
"Rv1038c"	"MT1067"	"Rv1038c"	"conserved hypothetical protein"
"Rv1039c"	"MT1068"	"PPE"	"PPE-family protein"
"Rv1040c"	"MT1069"	"PE"	"PE-family protein"
"Rv1041c"	"MT1072"	"Rv1041c"	"hypothetical protein"
"Rv1042c"	"MT1072"	"Rv1042c"	"hypothetical protein"
"Rv1043c"	"MT1073"	"Rv1043c"	"hypothetical protein"
"Rv1044"	"MT1074"	"Rv1044"	"conserved hypothetical protein"
"Rv1045"	"MT1075"	"Rv1045"	"hypothetical protein"
"Rv1046c"	"MT1075.1"	"Rv1046c"	"hypothetical protein"
"Rv1047"	"MT3107"	"Rv1047"	"possible IS1081 transposase"
"Rv1048c"	"MT1078"	"Rv1048c"	"hypothetical protein"
"Rv1049"	"MT1079"	"Rv1049"	"transcriptional regulator (MarR family)"
"Rv1050"	"MT1080"	"Rv1050"	"probable oxidoreductaseoxidoreducatse"
"Rv1051c"	"MT1081"	"Rv1051c"	"conserved hypothetical protein"
"Rv1052"	"MT1083"	"Rv1052"	"hypothetical protein"
"Rv1053c"	NA	"Rv1053c"	"hypothetical protein"
"Rv1054;Rv1054"	NA	NA	NA
"Rv1055"	NA	"Rv1055"	"integrase-b"
"Rv1056"	"MT1085"	"Rv1056"	"conserved hypothetical protein"
"Rv1057"	"MT1087"	"Rv1057"	"conserved hypothetical protein"
"Rv1058"	NA	"fadD14"	"acyl-CoA synthase"
"Rv1059"	"MT1089"	"Rv1059"	"conserved hypothetical protein"
"Rv1060"	"MT1090"	"Rv1060"	"hypothetical protein"
"Rv1061"	NA	"Rv1061"	"conserved hypothetical protein"
"Rv1062"	"MT1092"	"Rv1062"	"conserved hypothetical protein"
"Rv1063c"	"MT1093"	"Rv1063c"	"conserved hypothetical protein"
"Rv1064c"	"MT1094"	"lpqV"	"lipoprotein"
"Rv1065"	"MT1095"	"Rv1065"	"conserved hypothetical protein"
"Rv1066"	NA	"Rv1066"	"conserved hypothetical protein"
"Rv1067c"	"MT1096.1"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv1068c;Rv1068c"	NA	NA	NA
"Rv1069c"	"MT1099"	"Rv1069c"	"conserved hypothetical protein"
"Rv1070c"	NA	"echA8"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv1071c"	"MT1101"	"echA9"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv1072"	"MT1102"	"Rv1072"	"probable transmembrane protein"
"Rv1073"	"MT1103"	"Rv1073"	"conserved hypothetical protein"
"Rv1074c"	"MT1104"	"fadA3"	"acetyl-CoA C-acetyltransferase"
"Rv1075c"	"MT1105"	"Rv1075c"	"conserved hypothetical protein"
"Rv1076"	"MT1106"	"lipU"	"probable esterase"
"Rv1077"	"MT1108"	"cysM2"	"cystathionine [beta]-synthase"
"Rv1078"	"MT1109"	"pra"	"MLPRAG (64.8% id) proline rich Ag"
"Rv1079"	"MT1110"	"metB"	"cystathionine [gamma]-synthase"
"Rv1080c"	"MT1111"	"greA"	"transcription elongation factor G"
"Rv1081c"	"MT1112"	"Rv1081c"	"hypothetical protein"
"Rv1082"	"MT1113"	"Rv1082"	"similar to S. lincolnensis lmbE"
"Rv1083"	"MT1114"	"Rv1083"	"conserved hypothetical protein"
"Rv1084"	"MT1115"	"Rv1084"	"conserved hypothetical protein"
"Rv1085c"	"MT1117"	"Rv1085c"	"possible hemolysin"
"Rv1086"	"MT1118"	"Rv1086"	"conserved hypothetical protein"
"Rv1087;Rv1087"	NA	NA	NA
"Rv1088"	"MT1119"	"PE"	"PE-family protein"
"Rv1089"	NA	"PE"	"PE-family protein"
"Rv1090"	NA	"Rv1090"	"probable inactivated cellulase/endoglucanase"
"Rv1091;Rv1091"	NA	NA	NA
"Rv1092c"	"MT1124"	"coaA"	"pantothenate kinase"
"Rv1093"	"MT1125"	"glyA"	"serine hydroxymethyltransferase"
"Rv1094"	"MT1126"	"desA2"	"acyl-[ACP] desaturase"
"Rv1095"	"MT1127"	"phoH2"	"PhoH-like protein"
"Rv1096"	"MT1128"	"Rv1096"	"carbohydrate degrading enzyme"
"Rv1097c"	"MT1129"	"Rv1097c"	"probable membrane spanning protein"
"Rv1098c"	"MT1130"	"fum"	"fumarase"
"Rv1099c"	"MT1131"	"Rv1099c"	"conserved hypothetical protein"
"Rv1100"	"MT1132"	"Rv1100"	"conserved hypothetical protein"
"Rv1101c"	"MT1133"	"Rv1101c"	"putative membrane protein"
"Rv1102c"	"MT1134"	"Rv1102c"	"conserved hypothetical protein"
"Rv1103c;Rv1103c"	NA	NA	NA
"Rv1104"	"MT1136"	"Rv1104"	"probable esterase pseudogene"
"Rv1105"	"MT1136"	"Rv1105"	"probable esterase pseudogene"
"Rv1106c"	"MT1137"	"Rv1106c"	"probable cholesterol dehydrogenase"
"Rv1107c"	"MT1138"	"xseB"	"exonuclease VII small subunit"
"Rv1108c"	"MT1139"	"xseA"	"exonuclease VII large subunit"
"Rv1109c"	"MT1140"	"Rv1109c"	"hypothetical protein"
"Rv1110"	"MT1141"	"lytB "	"very similar to LytB"
"Rv1111c"	"MT1142"	"Rv1111c"	"hypothetical protein"
"Rv1112"	"MT1143"	"Rv1112"	"conserved hypothetical protein"
"Rv1113"	"MT1143.1"	"Rv1113"	"hypothetical protein"
"Rv1114"	"MT1144"	"Rv1114"	"conserved hypothetical protein"
"Rv1115"	NA	"Rv1115"	"hypothetical protein"
"Rv1116"	"MT1147"	"Rv1116"	"hypothetical protein"
"Rv1117"	"MT1149"	"Rv1117"	"conserved hypothetical protein"
"Rv1118c"	"MT1150"	"Rv1118c"	"hypothetical protein"
"Rv1119c"	"MT1151"	"Rv1119c"	"hypothetical protein"
"Rv1120c"	"MT1152"	"Rv1120c"	"conserved hypothetical protein"
"Rv1121"	"MT1153"	"zwf"	"glucose-6-phosphate 1-dehydrogenase"
"Rv1122"	"MT1154"	"gnd2"	"6-phosphogluconate dehydrogenase (Gram +)"
"Rv1123c"	"MT1155"	"bpoB"	"probable non-heme bromoperoxidase"
"Rv1124"	"MT1156"	"ephC"	"probable epoxide hydrolase"
"Rv1125;Rv1125"	NA	NA	NA
"Rv1126c"	"MT1157.1MT1158"	"Rv1126c"	"conserved hypothetical protein"
"Rv1127c"	"MT1159"	"ppdK"	"similar to pyruvate, phosphate dikinase"
"Rv1128c"	"MT1160"	"Rv1128c"	"REP-family protein"
"Rv1129c"	"MT1161"	"Rv1129c"	"transcriptional regulator (PbsX/Xre family)"
"Rv1130"	"MT1162"	"Rv1130"	"conserved hypothetical protein"
"Rv1131"	"MT1163"	"gltA1"	"citrate synthase 3"
"Rv1132"	"MT1164"	"Rv1132"	"possible transporter"
"Rv1133c"	"MT1165"	"metE"	"5-methyltetrahydropteroyltriglutamate-homocystei ne"
"Rv1134"	NA	"Rv1134"	"hypothetical protein"
"Rv1135c"	"MT1168"	"PPE"	"PPE-family protein"
"Rv1136"	"MT1169.1"	"Rv1136"	"probable carnitine racemase"
"Rv1137c"	NA	"Rv1137c"	"hypothetical protein"
"Rv1138c"	"MT1171"	"Rv1138c"	"conserved hypothetical protein"
"Rv1139c"	NA	"Rv1139c"	"conserved hypothetical protein"
"Rv1140"	"MT1173"	"Rv1140"	"conserved hypothetical protein"
"Rv1141c"	"MT1174"	"echA11"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv1142c"	"MT1175"	"echA10"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv1143"	"MT1176"	"mcr"	"[alpha]-methyl acyl-CoA racemase"
"Rv1144"	"MT1177"	"Rv1144"	"short-chain alcohol dehydrogenase"
"Rv1145"	NA	"Rv1145"	"probable drug transporter"
"Rv1146"	"MT1179.1"	"Rv1146"	"probable drug transporter"
"Rv1147"	"MT1180"	"Rv1147"	"similar to phosphatidylethanolamine N-methyltransferase"
"Rv1148c"	"MT1995"	"Rv1148c"	"REP-family protein"
"Rv1149"	"MT1072"	"Rv1149"	"hypothetical protein"
"Rv1150"	"MT1072"	"Rv1150"	"hypothetical protein"
"Rv1151c"	"MT1185"	"Rv1151c"	"putative transcriptional regulator"
"Rv1152"	"MT1186"	"Rv1152"	"transcriptional regulator (GntR family)"
"Rv1153c"	"MT1187"	"omt"	"PKS o-methyltransferase"
"Rv1154c"	"MT1188"	"Rv1154c"	"hypothetical protein"
"Rv1155"	"MT1189"	"Rv1155"	"hypothetical protein"
"Rv1156"	"MT1191"	"Rv1156"	"hypothetical protein"
"Rv1157c"	"MT1193"	"Rv1157c"	"conserved hypothetical protein"
"Rv1158c"	"MT1194"	"Rv1158c"	"conserved hypothetical protein"
"Rv1159"	"MT1195"	"Rv1159"	"probable membrane protein"
"Rv1160"	"MT1197"	"mutT2"	"MutT homologue"
"Rv1161"	"MT1198"	"narG"	"nitrate reductase [alpha] subunit"
"Rv1162"	"MT1199"	"narH"	"nitrate reductase [beta] chain"
"Rv1163"	"MT1200"	"narJ"	"nitrate reductase [delta] chain"
"Rv1164"	"MT1201"	"narI"	"nitrate reductase [gamma] chain"
"Rv1165"	"MT1202"	"Rv1165"	"conserved hypothetical protein"
"Rv1166"	"MT1203"	"lpqW"	"lipoprotein"
"Rv1167c"	NA	"Rv1167c"	"putative transcriptional regulator"
"Rv1168c"	"MT1205"	"PPE"	"PPE-family protein"
"Rv1169c"	"MT1206"	"PE"	"PE-family protein"
"Rv1170"	"MT1207"	"Rv1170"	"similar to S. lincolnensis lmbE"
"Rv1171"	"MT1208"	"Rv1171"	"hypothetical protein"
"Rv1172c"	"MT1209"	"PE"	"PE-family protein"
"Rv1173"	"MT1210"	"Rv1173"	"conserved hypothetical protein"
"Rv1174c"	NA	"Rv1174c"	"hypothetical protein"
"Rv1175c"	"MT1212"	"fadH"	"2,4-Dienoyl-CoA Reductase"
"Rv1176c"	"MT1213"	"Rv1176c"	"conserved hypothetical protein"
"Rv1177"	"MT1214"	"fdxC"	"ferredoxin 4Fe-4S"
"Rv1178"	"MT1215"	"Rv1178"	"possible aminotransferase"
"Rv1179c;Rv1179c"	NA	NA	NA
"Rv1180"	"MT1218"	"pks3"	"polyketide synthase"
"Rv1181"	"MT1218"	"pks4"	"polyketide synthase"
"Rv1182"	"MT1219"	"papA3"	"PKS-associated protein, unknown function"
"Rv1183"	"MT1220"	"mmpL10"	"conserved large membrane protein"
"Rv1184c"	"MT1221"	"Rv1184c"	"conserved hypothetical protein"
"Rv1185c"	"MT1222"	"fadD21"	"acyl-CoA synthase"
"Rv1186c"	"MT1223"	"Rv1186c"	"hypothetical protein"
"Rv1187"	"MT1224"	"rocA"	"pyrroline-5-carboxylate dehydrogenase"
"Rv1188"	"MT1225"	"Rv1188"	"probable dehydrogenase"
"Rv1189"	NA	"sigI"	"ECF family sigma factor"
"Rv1190"	"MT1227"	"Rv1190"	"conserved hypothetical protein"
"Rv1191"	NA	"Rv1191"	"conserved hypothetical protein"
"Rv1192"	"MT1229"	"Rv1192"	"hypothetical protein"
"Rv1193"	"MT1230"	"fadD36"	"acyl-CoA synthase"
"Rv1194c"	"MT1231"	"Rv1194c"	"conserved hypothetical protein"
"Rv1195"	"MT1233"	"PE"	"PE-family protein"
"Rv1196"	"MT1234"	"PPE"	"PPE-family protein"
"Rv1197"	"MT1067"	"Rv1197"	"conserved hypothetical protein"
"Rv1198"	"MT3721"	"Rv1198"	"conserved hypothetical protein"
"Rv1199c"	"MT3107"	"Rv1199c"	"possible IS1081 transposase"
"Rv1200"	"MT1238"	"Rv1200"	"probable sugar transporter"
"Rv1201c"	"MT1239"	"Rv1201c"	"conserved hypothetical protein"
"Rv1202"	"MT1240"	"dapE"	"succinyl-diaminopimelate desuccinylase"
"Rv1203c"	"MT1241"	"Rv1203c"	"hypothetical protein"
"Rv1204c"	"MT1242"	"Rv1204c"	"conserved hypothetical protein"
"Rv1205"	NA	"Rv1205"	"conserved hypothetical protein"
"Rv1206"	"MT1244"	"fadD6"	"acyl-CoA synthase"
"Rv1207"	"MT1245"	"folP2"	"dihydropteroate synthase"
"Rv1208"	"MT1246"	"Rv1208"	"conserved hypothetical protein"
"Rv1209"	"MT1247"	"Rv1209"	"conserved hypothetical protein"
"Rv1210"	"MT1248"	"tagA"	"DNA-3-methyladenine glycosidase I"
"Rv1211"	NA	"Rv1211"	"conserved hypothetical protein"
"Rv1212c"	"MT1250"	"Rv1212c"	"possible involved in LPS synthesis"
"Rv1213"	"MT1251"	"glgC"	"glucose-1-phosphate adenylyltransferase"
"Rv1214c"	NA	"PE"	"PE-family protein"
"Rv1215c"	"MT1253"	"Rv1215c"	"conserved hypothetical protein"
"Rv1216c"	"MT1254"	"Rv1216c"	"conserved hypothetical protein"
"Rv1217c"	"MT1255"	"Rv1217c"	"probable integral membrane protein"
"Rv1218c"	"MT1256"	"Rv1218c"	"probable ABC transmembrane transport proteinportein"
"Rv1219c"	"MT1257"	"Rv1219c"	"putative transcriptional regulator"
"Rv1220c"	"MT1258"	"Rv1220c"	"probable methyltransferase"
"Rv1221"	"MT1259"	"sigE"	"ECF subfamily sigma subunit"
"Rv1222"	"MT1260"	"Rv1222"	"hypothetical protein"
"Rv1223"	"MT1261"	"htrA"	"serine protease"
"Rv1224"	"MT1262"	"Rv1224"	"conserved hypothetical protein"
"Rv1225c"	"MT1263"	"Rv1225c"	"conserved hypothetical protein"
"Rv1226c"	"MT1264"	"Rv1226c"	"possible membrane protein"
"Rv1227c"	NA	"Rv1227c"	"probable transmembrane protein"
"Rv1228"	NA	"lpqX"	"lipoprotein"
"Rv1229c"	"MT1267"	"mrp"	"similar to MRP/NBP35 ATP-binding proteins"
"Rv1230c"	"MT1268"	"Rv1230c"	"possible membrane protein"
"Rv1231c"	"MT1269"	"Rv1231c"	"hypothetical protein"
"Rv1232c"	"MT1270"	"Rv1232c"	"hypothetical protein"
"Rv1233c"	"MT1271"	"Rv1233c"	"hypothetical protein"
"Rv1234"	NA	"Rv1234"	"hypothetical protein"
"Rv1235"	"MT1273"	"lpqY"	"possible role in sugar transport"
"Rv1236"	"MT1274"	"sugA"	"membrane protein probably involved in sugar"
"Rv1237"	NA	"sugB"	"sugar transport protein"
"Rv1238"	"MT1276"	"sugC"	"ABC transporter component of sugar uptake system"
"Rv1239c"	NA	"corA"	"probable magnesium and cobalt transport protein"
"Rv1240"	"MT1278"	"mdh"	"malate dehydrogenase"
"Rv1241"	"MT1279"	"Rv1241"	"conserved hypothetical protein"
"Rv1242"	NA	"Rv1242"	"conserved hypothetical protein"
"Rv1243c"	"MT1280.1"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv1244"	"MT1281"	"lpqZ"	"lipoprotein"
"Rv1245c"	"MT1283"	"Rv1245c"	"putative dehydrogenase"
"Rv1246c"	NA	"Rv1246c"	"conserved hypothetical protein"
"Rv1247c"	NA	"Rv1247c"	"conserved hypothetical protein"
"Rv1248c"	"MT1286"	"sucA"	"2-oxoglutarate dehydrogenase"
"Rv1249c"	"MT1287"	"Rv1249c"	"possible membrane protein"
"Rv1250"	"MT1289"	"Rv1250"	"probable drug efflux protein"
"Rv1251c"	"MT1290"	"Rv1251c"	"hypothetical protein"
"Rv1252c"	"MT1291"	"lprE"	"lipoprotein"
"Rv1253"	"MT1292"	"deaD"	"ATP-dependent DNA/RNA helicase"
"Rv1254"	"MT1293"	"Rv1254"	"acyltransferase"
"Rv1255c"	"MT1294"	"Rv1255c"	"transcriptional regulator (TetR/AcrR family)"
"Rv1256c"	"MT1295"	"Rv1256c"	"Probable cytochrome P-450"
"Rv1257c"	"MT1296"	"Rv1257c"	"similar to many dehydrogenases"
"Rv1258c"	"MT1297"	"Rv1258c"	"probable multidrug resistance pump"
"Rv1259"	NA	"Rv1259"	"hypothetical protein"
"Rv1260"	"MT1298"	"Rv1260"	"probable oxidoreductase"
"Rv1261c"	"MT1299"	"Rv1261c"	"conserved hypothetical protein"
"Rv1262c"	"MT1300"	"Rv1262c"	"conserved hypothetical protein"
"Rv1263"	"MT1301"	"amiB2"	"putative amidase AMI2_MYCTU Q11056"
"Rv1264"	"MT1302"	"Rv1264"	"similar to adenylate cyclases"
"Rv1265"	"MT1303"	"Rv1265"	"hypothetical protein"
"Rv1266c"	NA	"pknH"	"serine-threonine protein kinase"
"Rv1267c"	"MT1305"	"embR"	"regulator of embAB genes (AfsR/DndI/RedD family)"
"Rv1268c"	"MT1306"	"Rv1268c"	"hypothetical protein"
"Rv1269c"	"MT1307"	"Rv1269c"	"conserved hypothetical protein"
"Rv1270c"	"MT1308"	"lprA"	"lipoprotein"
"Rv1271c"	"MT1309"	"Rv1271c"	"conserved hypothetical protein"
"Rv1272c"	"MT1310"	"Rv1272c"	"probable ABC transporter"
"Rv1273c"	"MT1311"	"Rv1273c"	"ABC transporter"
"Rv1274"	NA	"lprB"	"lipoprotein"
"Rv1275"	"MT1312.1"	"lprC"	"lipoprotein"
"Rv1276c"	"MT1313"	"Rv1276c"	"hypothetical protein"
"Rv1277"	"MT1314"	"Rv1277"	"hypothetical protein"
"Rv1278"	"MT1315"	"Rv1278"	"hypothetical protein"
"Rv1279"	"MT1316"	"Rv1279"	"probable choline dehydrogenase"
"Rv1280c"	"MT1317"	"oppA"	"probable oligopeptide transport protein"
"Rv1281c"	"MT1318"	"oppD"	"probable peptide transport protein"
"Rv1282c"	"MT1319"	"oppC"	"oligopeptide transport system permease"
"Rv1283c"	"MT1320"	"oppB"	"oligopeptide transport protein"
"Rv1284"	"MT1322"	"Rv1284"	"conserved hypothetical protein"
"Rv1285;Rv1285"	NA	NA	NA
"Rv1286"	"MT1324"	"cysN"	"ATP:sulphurylase subunit 1"
"Rv1287"	"MT1325"	"Rv1287"	"conserved hypothetical protein"
"Rv1288"	"MT1326"	"Rv1288"	"conserved hypothetical protein"
"Rv1289"	"MT1327"	"Rv1289"	"hypothetical protein"
"Rv1290c"	"MT1328"	"Rv1290c"	"hypothetical protein"
"Rv1291c;Rv1291c"	NA	NA	NA
"Rv1292"	"MT1331"	"argS"	"arginyl-tRNA synthase"
"Rv1293"	"MT1332"	"lysA"	"diaminopimelate decarboxylase"
"Rv1294"	"MT1333"	"thrA"	"homoserine dehydrogenase"
"Rv1295"	"MT1334"	"thrC"	"homoserine synthase"
"Rv1296"	"MT1335"	"thrB"	"homoserine kinase"
"Rv1297"	"MT1336"	"rho"	"transcription termination factor rho"
"Rv1298"	"MT1337"	"rpmE"	"50S ribosomal protein L31"
"Rv1299"	NA	"prfA"	"peptide chain release factor 1"
"Rv1300"	"MT1339"	"hemK"	"protoporphyrinogen oxidase"
"Rv1301"	"MT1340"	"Rv1301"	"conserved hypothetical protein"
"Rv1302"	"MT1341"	"rfe"	"hypothetical protein"
"Rv1303"	NA	"Rv1303"	"conserved hypothetical protein"
"Rv1304"	NA	"atpB"	"ATP synthase a chain"
"Rv1305"	"MT1345"	"atpE"	"ATP synthase c chain"
"Rv1306"	"MT1346"	"atpF"	"ATP synthase b chain"
"Rv1307"	"MT1347"	"atpH"	"ATP synthase [delta] chain"
"Rv1308"	"MT1348"	"atpA"	"ATP synthase [alpha] chain"
"Rv1309"	"MT1349"	"atpG"	"ATP synthase [gamma] chain"
"Rv1310"	"MT1350"	"atpD"	"ATP synthase [beta] chain"
"Rv1311"	"MT1351"	"atpC"	"ATP synthase [epsilon] chain"
"Rv1312"	"MT1352"	"Rv1312"	"conserved hypothetical protein"
"Rv1313c"	"MT1353"	"Rv1313c"	"transposase"
"Rv1314c"	"MT1354"	"Rv1314c"	"conserved hypothetical protein"
"Rv1315"	"MT1355"	"murA"	"UDP-N-acetylglucosamine-1-carboxyvinyltransferase"
"Rv1316c"	"MT1357"	"ogt"	"methylated-DNA-protein-cysteine methyltransferase"
"Rv1317c"	NA	"alkA"	"DNA-3-methyladenine glycosidase II"
"Rv1318c"	"MT1359"	"Rv1318c"	"similar at C-term to adenylate cyclases"
"Rv1319c"	"MT1361"	"Rv1319c"	"similar at C-term to adenylate cyclases"
"Rv1320c"	"MT1362"	"Rv1320c"	"similar at C-term to adenylate cyclases"
"Rv1321"	NA	"Rv1321"	"conserved hypothetical protein"
"Rv1322"	"MT1363.1"	"Rv1322"	"hypothetical protein"
"Rv1323"	"MT1365"	"fadA4"	"acetyl-CoA C-acetyltransferase (aka thiL)"
"Rv1324"	"MT1366"	"Rv1324"	"hypothetical protein"
"Rv1325c;Rv1325c"	NA	NA	NA
"Rv1326c"	"MT1368"	"glgB"	"1,4-[alpha]-glucan branching enzyme"
"Rv1327c"	"MT1369"	"Rv1327c"	"probable glycosyl hydrolase, [alpha]-amylase family"
"Rv1328"	"MT1370"	"glgP"	"probable glycogen phosphorylase"
"Rv1329c"	"MT1371"	"dinG"	"probable ATP-dependent helicase"
"Rv1330c"	"MT1372"	"Rv1330c"	"conserved hypothetical protein"
"Rv1331"	"MT1373"	"Rv1331"	"conserved hypothetical protein"
"Rv1332"	"MT1374"	"Rv1332"	"putative transcriptional regulator"
"Rv1333"	"MT1375"	"Rv1333"	"probable hydrolase"
"Rv1334"	NA	"Rv1334"	"conserved hypothetical protein"
"Rv1335"	"MT1376.1"	"Rv1335"	"conserved hypothetical protein"
"Rv1336"	"MT1377"	"cysM"	"cysteine synthase B"
"Rv1337"	"MT1378"	"Rv1337"	"conserved hypothetical protein"
"Rv1338"	"MT1379"	"murI"	"glutamate racemase"
"Rv1339"	"MT1380"	"Rv1339"	"conserved hypothetical protein"
"Rv1340"	"MT1381"	"rphA"	"ribonuclease PH"
"Rv1341"	"MT1382"	"Rv1341"	"conserved hypothetical protein"
"Rv1342c"	"MT1383"	"pks14"	"polyketide synthase (chalcone synthase-like)"
"Rv1343c"	"MT1384"	"Rv1343c"	"conserved hypothetical protein"
"Rv1344"	NA	"Rv1344"	"possible acyl carrier protein"
"Rv1345"	"MT1387"	"fadD33"	"acyl-CoA synthase"
"Rv1346"	"MT1388"	"fadE14"	"acyl-CoA dehydrogenase"
"Rv1347c"	"MT1389"	"Rv1347c"	"possible aminoglycoside 6 -N-acetyltransferase"
"Rv1348"	"MT1390"	"Rv1348"	"heavy metal tolerance protein"
"Rv1349"	"MT1392"	"Rv1349"	"probable membrane protein"
"Rv1350"	"MT1393"	"fabG2"	"3-oxoacyl-[ACP] reductase"
"Rv1351"	"MT1394"	"Rv1351"	"hypothetical protein"
"Rv1352"	NA	"Rv1352"	"conserved hypothetical protein"
"Rv1353c"	"MT1396"	"Rv1353c"	"transcriptional regulator (TetR/AcrR family)"
"Rv1354c"	"MT1397"	"Rv1354c"	"conserved hypothetical protein"
"Rv1355c"	"MT1398"	"moeY"	"weak similarity to E. coli MoeB"
"Rv1356c"	"MT1399"	"Rv1356c"	"hypothetical protein"
"Rv1357c"	"MT1400"	"Rv1357c"	"conserved hypothetical protein"
"Rv1358"	"MT1402"	"Rv1358"	"transcriptional regulator (LuxR/UhpA family)"
"Rv1359"	"MT1403"	"Rv1359"	"putative transcriptional regulator"
"Rv1360"	"MT1405"	"Rv1360"	"coenzyme F420-dependent"
"Rv1361c"	"MT3582"	"PPE"	"PPE-family protein"
"Rv1362c"	"MT1407"	"Rv1362c"	"conserved hypothetical protein"
"Rv1363c"	NA	"Rv1363c"	"conserved hypothetical protein"
"Rv1364c"	"MT1410"	"rsbU"	"SigB regulation protein"
"Rv1365c"	"MT1411"	"Rv1365c"	"conserved hypothetical protein"
"Rv1366"	"MT1412"	"Rv1366"	"hypothetical protein"
"Rv1367c"	"MT1414"	"Rv1367c"	"probable penicillin binding protein"
"Rv1368"	"MT1415"	"lprF"	"lipoprotein"
"Rv1369c"	"MT2881"	"Rv1369c"	"possible IS6110 transposase"
"Rv1370c"	NA	"Rv1370c"	"possible IS6110 transposase"
"Rv1371"	"MT1416"	"Rv1371"	"hypothetical protein"
"Rv1372"	"MT1417"	"pks18"	"polyketide synthase"
"Rv1373"	"MT1418"	"Rv1373"	"slight similarity to sulfotransferases"
"Rv1374c"	NA	"Rv1374c"	"hypothetical protein"
"Rv1375"	"MT1419"	"Rv1375"	"conserved hypothetical protein"
"Rv1376"	"MT1420"	"Rv1376"	"conserved hypothetical protein"
"Rv1377c"	"MT1421"	"Rv1377c"	"some similarity to methyltransferases"
"Rv1378c"	"MT1422"	"Rv1378c"	"conserved hypothetical protein"
"Rv1379"	"MT1423"	"pyrR"	"regulatory protein pyrimidine biosynthesis"
"Rv1380"	"MT1424"	"pyrB"	"aspartate carbamoyltransferase"
"Rv1381"	"MT1425"	"pyrC"	"dihydroorotase"
"Rv1382"	NA	"Rv1382"	"hypothetical protein"
"Rv1383"	"MT1427"	"carA"	"carbamoyl-phosphate synthase subunit"
"Rv1384"	"MT1428"	"carB"	"carbamoyl-phosphate synthase subunit"
"Rv1385"	"MT1429"	"pyrF"	"orotidine 5 -phosphate decarboxylase"
"Rv1386"	"MT1430"	"PE"	"PE-family protein"
"Rv1387"	"MT1431"	"PPE"	"PPE-family protein"
"Rv1388;Rv1388"	NA	NA	NA
"Rv1389"	NA	"gmk"	"putative guanylate kinase"
"Rv1390"	"MT1435"	"Rv1390"	"hypothetical protein"
"Rv1391"	NA	"dfp"	"flavoprotein"
"Rv1392"	"MT1437"	"metK"	"S-adenosylmethionine synthase"
"Rv1393c"	"MT1438"	"Rv1393c"	"FAD-containing monooxygenase"
"Rv1394c"	"MT1439"	"Rv1394c"	"possible cytochrome p450"
"Rv1395"	"MT1440"	"Rv1395"	"transcriptional regulator (AraC/XylS family)"
"Rv1396c"	"MT1440.1"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv1397c"	"MT1441"	"Rv1397c"	"conserved hypothetical protein"
"Rv1398c"	"MT1442"	"Rv1398c"	"conserved hypothetical protein"
"Rv1399c"	"MT1443"	"lipH"	"probable lipase"
"Rv1400c"	"MT1444"	"lipI"	"probable lipase"
"Rv1401"	"MT1445"	"Rv1401"	"possible membrane protein"
"Rv1402"	NA	"priA"	"putative primosomal protein n  (replication factor"
"Rv1403c"	NA	"Rv1403c"	"similar to phosphatidylethanolamine N-methyltransferase"
"Rv1404"	"MT1448"	"Rv1404"	"transcriptional regulator (MarR family)"
"Rv1405c"	"MT1449"	"Rv1405c"	"similar to phosphatidylethanolamine N-methyltransferase"
"Rv1406"	"MT1450"	"fmt"	"methionyl-tRNA formyltransferase"
"Rv1407"	"MT1451"	"fmu"	"similar to Fmu protein"
"Rv1408"	"MT1452"	"rpe"	"ribulose-phosphate 3-epimerase"
"Rv1409"	"MT1453"	"ribG"	"riboflavin biosynthesis"
"Rv1410c"	"MT1454"	"Rv1410c"	"probable drug efflux protein"
"Rv1411c"	"MT1455"	"lprG"	"lipoprotein"
"Rv1412"	"MT1456"	"ribC"	"riboflavin synthase [alpha] chain"
"Rv1413"	NA	"Rv1413"	"hypothetical protein"
"Rv1414"	"MT1457"	"Rv1414"	"hypothetical protein"
"Rv1415"	"MT1458"	"ribA2"	"probable GTP cyclohydrolase II"
"Rv1416"	"MT1459"	"ribH"	"riboflavin synthase [beta] chain"
"Rv1417"	"MT1460"	"Rv1417"	"hypothetical protein"
